"aou","stateroute","dist_from_centroid","bearing"
6870,72043,1818718.68937243,103.789217605145
6870,72044,1840896.92259338,103.985400106018
6870,72046,1563731.83902336,115.1190840352
6870,72048,1604600.39010989,117.130988491775
6870,72050,1604703.89707181,113.247189662188
6870,72052,1633338.2759667,114.26100704492
6870,72053,1586722.61543607,113.132822199195
6870,72054,1638488.71912823,113.261463102354
6870,72058,1683773.22037457,112.132140324664
6870,72059,1722293.76152769,112.740154872265
6870,72060,1704043.65454635,110.512665579738
6870,72061,1724948.32628895,112.247877018337
6870,72062,1714359.36642229,112.417374068987
6870,72064,1720256.46010003,111.704194694818
6870,72067,1729806.42387156,110.595863030168
6870,72068,1764171.90967815,111.557407073782
6870,72069,1753593.75126568,110.347332841041
6870,72070,1827797.67423232,111.500435503848
6870,72071,1729362.04244225,110.925862184955
6870,72072,1772077.40003417,110.524793008757
6870,72079,1821406.61136093,109.80356947918
6870,72083,1859835.24655396,107.730335271935
6870,72085,1862996.33585971,108.06901195514
6870,72086,1902834.28146206,106.819096834801
6870,72088,1632550.19496837,117.072981644601
6870,72090,1702704.25039198,115.408043405027
6870,72091,1716772.33293934,115.484483755593
6870,72097,1923769.57952889,109.994319031448
6870,72126,1726961.75888734,107.614722119357
6870,72127,1758228.82249757,108.002572244081
6870,72132,1743892.24932878,106.855889379346
6870,72145,1559547.31568549,114.089692202437
6870,72151,1634417.9410486,114.798035685528
6870,72165,1789253.40409432,111.199646918394
6870,72173,1808546.62681186,110.00413778929
6870,72181,1928943.63704599,107.810394026448
6870,72182,1915181.86061321,108.898933680673
6870,72189,1671651.57651361,115.706399231189
6870,72193,1820933.26901602,111.988458539049
6870,72194,1818812.4754618,113.081233359926
6870,72195,1887906.91786359,111.381891881272
6870,72196,1848766.38572661,111.61129474155
6870,80008,2057849.08328787,134.910188293503
6870,80021,2006730.40621311,136.4269703485
6870,81001,521014.299824519,177.798629614189
6870,81002,528994.714388024,-173.447217180191
6870,81036,527428.373207835,-119.174750231883
6870,81042,746363.553419804,-134.429605092924
6870,81047,671416.064357707,-130.251666408968
6870,82007,1495799.73600659,146.613394024141
6870,82008,1501202.09883664,147.912452183955
6870,82015,1627690.42428209,147.848995003357
6870,82016,1571232.46993518,145.497432583811
6870,82017,1631038.45215937,145.95057223294
6870,82018,1594714.52113939,147.245795542989
6870,82021,1652752.43366511,144.619967281312
6870,82025,1623043.55286471,140.457017773526
6870,82031,1657071.81097402,135.874113264927
6870,82032,1671434.88520724,136.486531027452
6870,82040,1729291.1511244,136.212023444713
6870,82042,1792518.14997226,130.934286005867
6870,82128,1732931.50677728,141.508370694457
6870,83044,1877136.79998971,173.144677805239
6870,87002,1945596.42021363,98.414745749411
6870,87006,1944338.75356353,95.0031075583769
6870,87007,1972364.158129,94.1368589861969
6870,87008,1942413.6006494,97.7241527523179
6870,87010,1922489.59340867,95.7784707217131
6870,87011,1973683.37784364,92.235229176621
6870,87013,1930042.73647832,93.6880835103734
6870,87014,1927931.64948984,93.1604123326582
6870,87015,1943799.97279914,92.9051009792164
6870,87017,1937268.21352376,92.2222448210871
6870,87019,1894757.99636451,92.2809068964332
6870,87022,1879030.24219827,92.9582209945474
6870,88003,1791118.35825939,120.588593699995
6870,88005,1831963.05400902,118.046338956857
6870,88006,1862790.71757348,117.770478137554
6870,88010,1946267.76761632,116.828035711466
6870,88011,1930283.19635022,117.903637300595
6870,88012,1889194.47084891,116.303367023567
6870,88014,1740213.34543894,129.009633540136
6870,88015,1791323.21258135,123.014652439444
6870,88020,1859200.50603232,122.212665809858
6870,88021,1870207.6635285,120.144203170971
6870,88022,1878820.68072772,119.84200443055
6870,88023,1878803.55922346,120.81978162604
6870,88024,1894773.78729159,122.097263668247
6870,88029,2041974.28265581,116.62242884464
6870,88031,2042035.32415459,119.067905653695
6870,88036,1751396.62390341,129.339605239199
6870,88037,1865021.51183938,125.836899254036
6870,88042,2012983.12053794,121.98046289944
6870,88043,2068247.24584683,120.438683802413
6870,88044,2059928.51032915,120.708626393331
6870,88047,1823806.96028431,127.38659888811
6870,88116,1818128.99820653,125.308059794379
6870,88134,1721650.57449281,131.600880416869
6870,89004,1778725.43877344,-78.5343958873299
6870,89008,1531770.0251529,-81.1433990245589
